Restaurant ID,Restaurant Name,City,Address,Zone,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes,Cuisines,Has Online delivery,Is delivering now,
18352277,Pind Balluchi,Gurgaon,"Vanijya Nikunj, Shankar Chowk, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,1000,3,2.7,Orange,Average,7,Chinese,No,No,
4185,Raj Xpresso,Gurgaon,"238, Next to Plot 702, Peepal Chowk, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,650,2,2.9,Orange,Average,13,"Fast Food, Burger",Yes,No,
18374686,Riders Hub,Gurgaon,"Vanijya Nikunj, Near Income Tax Office, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,800,2,3.1,Orange,Average,11,"Gujarati, Rajasthani",No,No,
310870,Shivani Catering Services,Gurgaon,"Shop 68, Rao Market, Electronics City, Udyog Vihar, Gurgaon",Northern Zone,500,2,3.1,Orange,Average,17,"Street Food, North Indian",Yes,No,
18435802,The Diet Kitchen,Gurgaon,"Udyog Vihar, Gurgaon",Northern Zone,700,2,3.3,Orange,Average,7,"American, Fast Food, Salad, Healthy Food",Yes,No,
311788,The Gr8 Taste of India,Gurgaon,"Enkay Tower, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,400,1,3,Orange,Average,10,Fast Food,No,No,
312301,World Art Cafe,Gurgaon,"183, Nimitya, Phase I, Udyog Vihar, Gurgaon",Northern Zone,500,2,3.3,Orange,Average,10,"Mughlai, North Indian",No,No,
18175242,XLNC Bakers,Gurgaon,"Udyog Vihar, Gurgaon",Northern Zone,150,1,2.9,Orange,Average,4,"Burger, Desserts, Fast Food",Yes,No,
18350142,Adventure Food,Gurgaon,"Food Court, Infocity, Udyog Vihar, Gurgaon",Northern Zone,150,1,0,White,Not rated,0,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",No,No,
18463967,Baba Da Dhaba,Gurgaon,Near Hanuman Mandir,Northern Zone,500,2,0,White,Not rated,0,Beverages,No,No,
18463954,Bandhani Fast Food,Gurgaon,"353, Udyog Vihar, Gurgaon",Northern Zone,300,1,0,White,Not rated,0,"North Indian, Mughlai, South Indian, Rajasthani, Street Food",Yes,No,
18463969,Bhai Ji Dhaba,Gurgaon,"Hanuman Mandir, Phase-1, Udyog Vihar, Gurgaon",Northern Zone,500,2,0,White,Not rated,0,"North Indian, Continental, Chinese",No,No,
18350144,Bikaner Sweets,Gurgaon,"Shop 7, Sector 18, HUDA Complex, Sarhaul Village, Udyog Vihar, Gurgaon",Northern Zone,300,1,0,White,Not rated,2,"Pizza, Italian",No,No,
18466414,Cafe Coffee Day,Gurgaon,"Infotech Center, Old Delhi Gurgaon Road, IDPL Township, Sector 22A, Udyog Vihar, Gurgaon",Northern Zone,450,1,0,White,Not rated,0,"American, Tex-Mex",Yes,No,
18332976,Cake 24x7,Gurgaon,"Plot 424, Satguru Farm, Opposite Maruti Gate 1, Sector 18, Udyog Vihar, Gurgaon",Northern Zone,450,1,0,White,Not rated,2,"European, American, Street Food",Yes,No,
18412860,Chaayos,Gurgaon,"Plot 243, Tower A, SP Infocity, Udyog Vihar Phase 1, Sector 20, Udyog Vihar, Gurgaon",Northern Zone,400,1,0,White,Not rated,3,"North Indian, Chinese, Continental",No,No,
18391133,Chauhan Hotel,Gurgaon,"Shop 5, HUDA Market, Sector 18, Udyog Vihar, Gurgaon",Northern Zone,200,1,0,White,Not rated,0,Pizza,No,No,
18311952,Costa Coffee,Gurgaon,"Airtel Centre Bharti Airtel Ltd, 5th Floor, Plot 16, Phase 4, Udyog Vihar, Gurgaon",Northern Zone,600,2,0,White,Not rated,2,"Continental, European, North Indian",No,No,
18350138,Dheeraj Vaishno Dhaba,Gurgaon,"Rao Chattar Singh Market, Opposite Siemens Sarhaul Village, Udyog Vihar, Gurgaon",Northern Zone,200,1,0,White,Not rated,0,"Biryani, North Indian",Yes,No,
313078,Domino's Pizza,Gurgaon,"SCO 35, HUDA Commercial Complex, Udyog Vihar, Gurgaon",Northern Zone,700,2,0,White,Not rated,3,"Cafe, North Indian",No,No,
18265716,Food Ka Adda,Gurgaon,"Plot 481, Ground Floor, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,400,1,0,White,Not rated,3,Cafe,No,No,
18382370,iKitchen,Gurgaon,"Plot 477, Sector 18, Sarhaul, Phase IV, Udyog Vihar, Gurgaon",Northern Zone,650,2,0,White,Not rated,2,"Lebanese, North Indian",Yes,No,
18421451,Knights Kitchen,Gurgaon,"93-B, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,200,1,0,White,Not rated,0,Biryani,No,No,
18427204,Ku-Kukdu-Ku,Gurgaon,"Near DCB ATM, Vimal Yadav Wali Galli, Sarhaul Village, Udyog Vihar, Gurgaon",Northern Zone,250,1,0,White,Not rated,0,North Indian,No,No,
18352171,Mogambo Kitchen,Gurgaon,"Plot 581, Phase 5, Udyog Vihar, Gurgaon",Northern Zone,200,1,0,White,Not rated,0,North Indian,No,No,
18458633,Noore-e-Seva,Gurgaon,"Shop 3, Huda Market, Sarahel, Udyog Vihar, Gurgaon",Northern Zone,150,1,0,White,Not rated,0,North Indian,No,No,
18306504,Premier Bite,Gurgaon,"243, Phase 1, Udyog Vihar, Gurgaon",Northern Zone,400,1,0,White,Not rated,1,"North Indian, Mughlai, Chinese",No,No,
18458319,Renu Sweets & Restaurant,Gurgaon,"Main Market Sarhaol, Opposite Siemens Company, Udyog Vihar, Gurgaon",Northern Zone,300,1,0,White,Not rated,0,Fast Food,No,No,
18463955,Street Foods by Punjab Grill,Gurgaon,"Location Varies, Udyog Vihar, Gurgaon",Northern Zone,600,2,0,White,Not rated,1,"Raw Meats, North Indian, Fast Food",No,No,
18337883,Tpot,Gurgaon,"Plot 241, Smile Group, Udyog Vihar, Gurgaon",Northern Zone,400,1,0,White,Not rated,1,"Fast Food, Chinese",Yes,No,
18391145,Uttrakhand Bohra Bhojnalaya & Fast Food,Gurgaon,"Main Sarhol Village, Opposite Siemens Office, Udyog Vihar, Gurgaon",Northern Zone,200,1,0,White,Not rated,0,North Indian,No,No,
18277216,Uttrakhand Dhaba,Gurgaon,"Near Ram Chowk, Udyog Vihar, Gurgaon",Northern Zone,200,1,0,White,Not rated,0,"North Indian, South Indian, Fast Food, Street Food, Mithai",No,No,
312592,Tea Halt,Gurgaon,"Ground Floor, Unitech Cyber Park, Sector 39, Gurgaon",Northern Zone,400,1,3.1,Orange,Average,82,"North Indian, Chinese",No,No,
9273,Dunkin' Donuts,Gurgaon,"7, Tower C, Unitech Cyber Park, Sector 39, Gurgaon",Northern Zone,600,2,3.5,Yellow,Good,302,North Indian,No,No,
309134,Indian Bistro Company,Gurgaon,"Unit 3, Tower B, Unitech Cyber Park, Sector 39, Gurgaon",Northern Zone,750,2,3.7,Yellow,Good,276,North Indian,No,No,
18458638,Department of Food and Social Affair,Gurgaon,"Unitech Cyber Park, Behind Tower A, Sector 39, Gurgaon",Northern Zone,300,1,0,White,Not rated,0,"North Indian, Mughlai, South Indian, Chinese",No,No,
18337882,Tpot,Gurgaon,"Unitech Cyber Park, Sector 39, Gurgaon, Gurgaon",Northern Zone,800,2,0,White,Not rated,3,"Fast Food, Chinese",Yes,No,
18237342,Anaaj,Gurgaon,"Food Court, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,500,2,2.9,Orange,Average,7,"Fast Food, Beverages",No,No,
18383550,Au Bon Pain,Gurgaon,"New Food court, 12-A, Ground Floor, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,600,2,2.8,Orange,Average,8,North Indian,No,No,
302243,Cafe Coffee Day,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,450,1,3.1,Orange,Average,10,"North Indian, South Indian, Chinese",No,No,
18294576,Cafe Friends,Gurgaon,"Shop 14, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,600,2,3.2,Orange,Average,31,"North Indian, Chinese",No,No,
18233603,Chinese Bistro,Gurgaon,"Food Court, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,600,2,2.9,Orange,Average,5,"North Indian, Chinese",Yes,No,
304182,Dunkin' Donuts,Gurgaon,"Unit 2, Ground Floor, Amenity Block, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,600,2,3.4,Orange,Average,87,"Mughlai, Chinese",No,No,
18396424,Madras Coffee House,Gurgaon,"Unit 7, SEZ Block 4 Aminity, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,300,1,3,Orange,Average,4,"North Indian, Mughlai",Yes,No,
9967,McDonald's,Gurgaon,"3, Ground Floor, Amenity Block, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,500,2,3.3,Orange,Average,35,"Pizza, Fast Food",No,No,
18350125,Nukkadwala,Gurgaon,"Unit 7, SEZ Block 4 Aminity, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,300,1,3.2,Orange,Average,25,North Indian,No,No,
302248,Salad Chef,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",Northern Zone,400,1,3.2,Orange,Average,44,North Indian,No,No,
310531,Subway,Gurgaon,"Food Court, Ground Floor, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,500,2,3.3,Orange,Average,27,Street Food,No,No,
312708,Tea Halt,Gurgaon,"Food Court, Basement, Amenity Block, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,400,1,2.7,Orange,Average,14,"Bakery, Desserts, Fast Food",No,No,
18175288,The Kachori Co.,Gurgaon,"Amenity Block, Unitech Infospace, Old Delhi-Gurgaon Road, Sector 21, Gurgaon",Northern Zone,200,1,2.5,Orange,Average,11,"Bakery, Mithai, Fast Food",No,No,
18124368,Urban Dhaba,Gurgaon,"Food Court, Basement 1, Unitech Infospace, Sector 21, Gurgaon",Northern Zone,700,2,3.2,Orange,Average,11,North Indian,No,No,
